id,room_id,partner_id,room_recommendation_action_id,snapshot_date,discount_pct,estimated_inquiry_uplift_pct,estimated_reservation_uplift_pct,estimated_revenue_uplift_pct,expected_revenue,expected_occupancy_rate,simulation_type,confidence_score,simulation_factors_json,is_recommended,simulated_at,created_at,updated_at
11,6,2,6,12/5/2026,10,16.01,11.09,2.41,122892,44.77,price_adjustment,69.57,"{""campaign_type"": null, ""price_gap_pct"": 48.7, ""hybrid_metrics"": {""total_uplift_score"": 2.41, ""long_term_growth_bonus"": 3.33, ""short_term_revenue_impact"": -0.92}, ""primary_action"": ""price_adjustment"", ""simulation_type"": ""price_adjustment"", ""discount_targets"": [""rent_fee""], ""benchmark_strength"": ""medium"", ""room_price_per_day"": 4700, ""anchor_revenue_used"": 120000, ""targeted_daily_value"": 4700, ""discount_target_scope"": ""rent_only"", ""risk_confidence_score"": 77.52, ""discount_component_share"": 1, ""avg_market_occupancy_rate"": 0.7}",0,12/5/2026 10:40,12/5/2026 10:40,12/5/2026 10:40
12,6,2,6,12/5/2026,15,20.3,14.47,1.61,121932,46.13,price_adjustment,72.57,"{""campaign_type"": null, ""price_gap_pct"": 48.7, ""hybrid_metrics"": {""total_uplift_score"": 1.61, ""long_term_growth_bonus"": 4.34, ""short_term_revenue_impact"": -2.73}, ""primary_action"": ""price_adjustment"", ""simulation_type"": ""price_adjustment"", ""discount_targets"": [""rent_fee""], ""benchmark_strength"": ""medium"", ""room_price_per_day"": 4700, ""anchor_revenue_used"": 120000, ""targeted_daily_value"": 4700, ""discount_target_scope"": ""rent_only"", ""risk_confidence_score"": 77.52, ""discount_component_share"": 1, ""avg_market_occupancy_rate"": 0.7}",0,12/5/2026 10:40,12/5/2026 10:40,12/5/2026 10:40
13,7,2,7,12/5/2026,0,0,0,0,112000,22.6,campaign_privilege,30,"{""campaign_type"": 2, ""price_gap_pct"": 0, ""hybrid_metrics"": {""total_uplift_score"": 0, ""long_term_growth_bonus"": 0, ""short_term_revenue_impact"": 0}, ""primary_action"": ""campaign_launch"", ""simulation_type"": ""campaign_privilege"", ""discount_targets"": [""rent_fee"", ""option_fee""], ""benchmark_strength"": ""broad"", ""anchor_revenue_used"": 112000, ""targeted_daily_value"": 0, ""discount_target_scope"": ""selected_fees"", ""risk_confidence_score"": 34.7, ""discount_component_share"": 1, ""avg_market_occupancy_rate"": 0.7}",1,12/5/2026 10:40,12/5/2026 10:40,12/5/2026 10:40
14,7,2,7,12/5/2026,5,2.41,2.46,-1.63,110174.4,23.16,campaign_privilege,30,"{""campaign_type"": 2, ""price_gap_pct"": 0, ""hybrid_metrics"": {""total_uplift_score"": -1.63, ""long_term_growth_bonus"": 0.74, ""short_term_revenue_impact"": -2.37}, ""primary_action"": ""campaign_launch"", ""simulation_type"": ""campaign_privilege"", ""discount_targets"": [""rent_fee"", ""option_fee""], ""benchmark_strength"": ""broad"", ""room_price_per_day"": 0, ""anchor_revenue_used"": 112000, ""targeted_daily_value"": 0, ""discount_target_scope"": ""selected_fees"", ""risk_confidence_score"": 34.7, ""discount_component_share"": 1, ""avg_market_occupancy_rate"": 0.7}",0,12/5/2026 10:40,12/5/2026 10:40,12/5/2026 10:40
15,7,2,7,12/5/2026,10,4.82,4.92,-3.27,108337.6,23.71,campaign_privilege,30,"{""campaign_type"": 2, ""price_gap_pct"": 0, ""hybrid_metrics"": {""total_uplift_score"": -3.27, ""long_term_growth_bonus"": 1.48, ""short_term_revenue_impact"": -4.75}, ""primary_action"": ""campaign_launch"", ""simulation_type"": ""campaign_privilege"", ""discount_targets"": [""rent_fee"", ""option_fee""], ""benchmark_strength"": ""broad"", ""room_price_per_day"": 0, ""anchor_revenue_used"": 112000, ""targeted_daily_value"": 0, ""discount_target_scope"": ""selected_fees"", ""risk_confidence_score"": 34.7, ""discount_component_share"": 1, ""avg_market_occupancy_rate"": 0.7}",0,12/5/2026 10:40,12/5/2026 10:40,12/5/2026 10:40
16,7,2,7,12/5/2026,15,7.23,7.38,-4.91,106500.8,24.27,campaign_privilege,30,"{""campaign_type"": 2, ""price_gap_pct"": 0, ""hybrid_metrics"": {""total_uplift_score"": -4.91, ""long_term_growth_bonus"": 2.21, ""short_term_revenue_impact"": -7.12}, ""primary_action"": ""campaign_launch"", ""simulation_type"": ""campaign_privilege"", ""discount_targets"": [""rent_fee"", ""option_fee""], ""benchmark_strength"": ""broad"", ""room_price_per_day"": 0, ""anchor_revenue_used"": 112000, ""targeted_daily_value"": 0, ""discount_target_scope"": ""selected_fees"", ""risk_confidence_score"": 34.7, ""discount_component_share"": 1, ""avg_market_occupancy_rate"": 0.7}",0,12/5/2026 10:40,12/5/2026 10:40,12/5/2026 10:40
17,8,2,8,12/5/2026,0,0,0,0,72000,8.1,price_adjustment,30.44,"{""campaign_type"": null, ""price_gap_pct"": 23.7, ""hybrid_metrics"": {""total_uplift_score"": 0, ""long_term_growth_bonus"": 0, ""short_term_revenue_impact"": 0}, ""primary_action"": ""price_adjustment"", ""simulation_type"": ""price_adjustment"", ""discount_targets"": [""rent_fee""], ""benchmark_strength"": ""broad"", ""anchor_revenue_used"": 72000, ""targeted_daily_value"": 4700, ""discount_target_scope"": ""rent_only"", ""risk_confidence_score"": 50.74, ""discount_component_share"": 1, ""avg_market_occupancy_rate"": 0.7}",1,12/5/2026 10:40,12/5/2026 10:40,12/5/2026 10:40
18,8,2,8,12/5/2026,5,3.79,3.1,-1.05,71244,8.35,price_adjustment,33.44,"{""campaign_type"": null, ""price_gap_pct"": 23.7, ""hybrid_metrics"": {""total_uplift_score"": -1.05, ""long_term_growth_bonus"": 0.93, ""short_term_revenue_impact"": -1.98}, ""primary_action"": ""price_adjustment"", ""simulation_type"": ""price_adjustment"", ""discount_targets"": [""rent_fee""], ""benchmark_strength"": ""broad"", ""room_price_per_day"": 4700, ""anchor_revenue_used"": 72000, ""targeted_daily_value"": 4700, ""discount_target_scope"": ""rent_only"", ""risk_confidence_score"": 50.74, ""discount_component_share"": 1, ""avg_market_occupancy_rate"": 0.7}",0,12/5/2026 10:40,12/5/2026 10:40,12/5/2026 10:40
19,8,2,8,12/5/2026,10,5.84,5.19,-3.02,69825.6,8.52,price_adjustment,36.44,"{""campaign_type"": null, ""price_gap_pct"": 23.7, ""hybrid_metrics"": {""total_uplift_score"": -3.02, ""long_term_growth_bonus"": 1.56, ""short_term_revenue_impact"": -4.58}, ""primary_action"": ""price_adjustment"", ""simulation_type"": ""price_adjustment"", ""discount_targets"": [""rent_fee""], ""benchmark_strength"": ""broad"", ""room_price_per_day"": 4700, ""anchor_revenue_used"": 72000, ""targeted_daily_value"": 4700, ""discount_target_scope"": ""rent_only"", ""risk_confidence_score"": 50.74, ""discount_component_share"": 1, ""avg_market_occupancy_rate"": 0.7}",0,12/5/2026 10:40,12/5/2026 10:40,12/5/2026 10:40
20,9,2,9,12/5/2026,0,0,0,0,0,0,campaign_discount,30,"{""campaign_type"": 1, ""price_gap_pct"": 0, ""hybrid_metrics"": {""total_uplift_score"": 0, ""long_term_growth_bonus"": 0, ""short_term_revenue_impact"": 0}, ""primary_action"": ""campaign_launch"", ""simulation_type"": ""campaign_discount"", ""discount_targets"": [""rent_fee"", ""cleaning_fee"", ""other_fee"", ""season_fee"", ""option_fee"", ""initial_fee""], ""benchmark_strength"": ""broad"", ""anchor_revenue_used"": 0, ""targeted_daily_value"": 0, ""discount_target_scope"": ""all_discountable_fees"", ""risk_confidence_score"": 30, ""discount_component_share"": 1, ""avg_market_occupancy_rate"": 0.7}",1,12/5/2026 10:40,12/5/2026 10:40,12/5/2026 10:40
21,9,2,9,12/5/2026,5,2.15,2.31,-1.78,0,71.62,campaign_discount,30,"{""campaign_type"": 1, ""price_gap_pct"": 0, ""hybrid_metrics"": {""total_uplift_score"": -1.78, ""long_term_growth_bonus"": 0.69, ""short_term_revenue_impact"": -2.47}, ""primary_action"": ""campaign_launch"", ""simulation_type"": ""campaign_discount"", ""discount_targets"": [""rent_fee"", ""cleaning_fee"", ""other_fee"", ""season_fee"", ""option_fee"", ""initial_fee""], ""benchmark_strength"": ""broad"", ""room_price_per_day"": 0, ""anchor_revenue_used"": 0, ""targeted_daily_value"": 0, ""discount_target_scope"": ""all_discountable_fees"", ""risk_confidence_score"": 30, ""discount_component_share"": 1, ""avg_market_occupancy_rate"": 0.7}",0,12/5/2026 10:40,12/5/2026 10:40,12/5/2026 10:40
22,9,2,9,12/5/2026,10,4.3,4.62,-3.55,0,73.23,campaign_discount,30,"{""campaign_type"": 1, ""price_gap_pct"": 0, ""hybrid_metrics"": {""total_uplift_score"": -3.55, ""long_term_growth_bonus"": 1.39, ""short_term_revenue_impact"": -4.94}, ""primary_action"": ""campaign_launch"", ""simulation_type"": ""campaign_discount"", ""discount_targets"": [""rent_fee"", ""cleaning_fee"", ""other_fee"", ""season_fee"", ""option_fee"", ""initial_fee""], ""benchmark_strength"": ""broad"", ""room_price_per_day"": 0, ""anchor_revenue_used"": 0, ""targeted_daily_value"": 0, ""discount_target_scope"": ""all_discountable_fees"", ""risk_confidence_score"": 30, ""discount_component_share"": 1, ""avg_market_occupancy_rate"": 0.7}",0,12/5/2026 10:40,12/5/2026 10:40,12/5/2026 10:40
23,9,2,9,12/5/2026,15,6.45,6.93,-5.32,0,74.85,campaign_discount,30,"{""campaign_type"": 1, ""price_gap_pct"": 0, ""hybrid_metrics"": {""total_uplift_score"": -5.32, ""long_term_growth_bonus"": 2.08, ""short_term_revenue_impact"": -7.4}, ""primary_action"": ""campaign_launch"", ""simulation_type"": ""campaign_discount"", ""discount_targets"": [""rent_fee"", ""cleaning_fee"", ""other_fee"", ""season_fee"", ""option_fee"", ""initial_fee""], ""benchmark_strength"": ""broad"", ""room_price_per_day"": 0, ""anchor_revenue_used"": 0, ""targeted_daily_value"": 0, ""discount_target_scope"": ""all_discountable_fees"", ""risk_confidence_score"": 30, ""discount_component_share"": 1, ""avg_market_occupancy_rate"": 0.7}",0,12/5/2026 10:40,12/5/2026 10:40,12/5/2026 10:40
24,10,2,10,12/5/2026,0,0,0,0,98700,0,price_adjustment,44.15,"{""campaign_type"": null, ""price_gap_pct"": 48.7, ""hybrid_metrics"": {""total_uplift_score"": 0, ""long_term_growth_bonus"": 0, ""short_term_revenue_impact"": 0}, ""primary_action"": ""price_adjustment"", ""simulation_type"": ""price_adjustment"", ""discount_targets"": [""rent_fee""], ""benchmark_strength"": ""medium"", ""anchor_revenue_used"": 98700, ""targeted_daily_value"": 4700, ""discount_target_scope"": ""rent_only"", ""risk_confidence_score"": 53.84, ""discount_component_share"": 1, ""avg_market_occupancy_rate"": 0.7}",0,12/5/2026 10:40,12/5/2026 10:40,12/5/2026 10:40
25,10,2,10,12/5/2026,5,8.14,5.62,1.27,99953.49,73.93,price_adjustment,47.15,"{""campaign_type"": null, ""price_gap_pct"": 48.7, ""hybrid_metrics"": {""total_uplift_score"": 1.27, ""long_term_growth_bonus"": 1.69, ""short_term_revenue_impact"": -0.42}, ""primary_action"": ""price_adjustment"", ""simulation_type"": ""price_adjustment"", ""discount_targets"": [""rent_fee""], ""benchmark_strength"": ""medium"", ""room_price_per_day"": 4700, ""anchor_revenue_used"": 98700, ""targeted_daily_value"": 4700, ""discount_target_scope"": ""rent_only"", ""risk_confidence_score"": 53.84, ""discount_component_share"": 1, ""avg_market_occupancy_rate"": 0.7}",1,12/5/2026 10:40,12/5/2026 10:40,12/5/2026 10:40
26,10,2,10,12/5/2026,10,11.12,8.25,-0.21,98492.73,75.78,price_adjustment,50.15,"{""campaign_type"": null, ""price_gap_pct"": 48.7, ""hybrid_metrics"": {""total_uplift_score"": -0.21, ""long_term_growth_bonus"": 2.48, ""short_term_revenue_impact"": -2.69}, ""primary_action"": ""price_adjustment"", ""simulation_type"": ""price_adjustment"", ""discount_targets"": [""rent_fee""], ""benchmark_strength"": ""medium"", ""room_price_per_day"": 4700, ""anchor_revenue_used"": 98700, ""targeted_daily_value"": 4700, ""discount_target_scope"": ""rent_only"", ""risk_confidence_score"": 53.84, ""discount_component_share"": 1, ""avg_market_occupancy_rate"": 0.7}",0,12/5/2026 10:40,12/5/2026 10:40,12/5/2026 10:40
27,10,2,10,12/5/2026,15,14.1,10.88,-1.69,97031.97,77.62,price_adjustment,53.15,"{""campaign_type"": null, ""price_gap_pct"": 48.7, ""hybrid_metrics"": {""total_uplift_score"": -1.69, ""long_term_growth_bonus"": 3.26, ""short_term_revenue_impact"": -4.95}, ""primary_action"": ""price_adjustment"", ""simulation_type"": ""price_adjustment"", ""discount_targets"": [""rent_fee""], ""benchmark_strength"": ""medium"", ""room_price_per_day"": 4700, ""anchor_revenue_used"": 98700, ""targeted_daily_value"": 4700, ""discount_target_scope"": ""rent_only"", ""risk_confidence_score"": 53.84, ""discount_component_share"": 1, ""avg_market_occupancy_rate"": 0.7}",0,12/5/2026 10:40,12/5/2026 10:40,12/5/2026 10:40
28,11,2,11,12/5/2026,0,0,0,0,0,0,campaign_discount,30,"{""campaign_type"": 1, ""price_gap_pct"": 0, ""hybrid_metrics"": {""total_uplift_score"": 0, ""long_term_growth_bonus"": 0, ""short_term_revenue_impact"": 0}, ""primary_action"": ""campaign_launch"", ""simulation_type"": ""campaign_discount"", ""discount_targets"": [""rent_fee"", ""cleaning_fee"", ""other_fee"", ""season_fee"", ""option_fee"", ""initial_fee""], ""benchmark_strength"": ""broad"", ""anchor_revenue_used"": 0, ""targeted_daily_value"": 0, ""discount_target_scope"": ""all_discountable_fees"", ""risk_confidence_score"": 30, ""discount_component_share"": 1, ""avg_market_occupancy_rate"": 0.7}",1,12/5/2026 10:40,12/5/2026 10:40,12/5/2026 10:40
29,11,2,11,12/5/2026,5,2.15,2.31,-1.78,0,71.62,campaign_discount,30,"{""campaign_type"": 1, ""price_gap_pct"": 0, ""hybrid_metrics"": {""total_uplift_score"": -1.78, ""long_term_growth_bonus"": 0.69, ""short_term_revenue_impact"": -2.47}, ""primary_action"": ""campaign_launch"", ""simulation_type"": ""campaign_discount"", ""discount_targets"": [""rent_fee"", ""cleaning_fee"", ""other_fee"", ""season_fee"", ""option_fee"", ""initial_fee""], ""benchmark_strength"": ""broad"", ""room_price_per_day"": 0, ""anchor_revenue_used"": 0, ""targeted_daily_value"": 0, ""discount_target_scope"": ""all_discountable_fees"", ""risk_confidence_score"": 30, ""discount_component_share"": 1, ""avg_market_occupancy_rate"": 0.7}",0,12/5/2026 10:40,12/5/2026 10:40,12/5/2026 10:40
30,11,2,11,12/5/2026,10,4.3,4.62,-3.55,0,73.23,campaign_discount,30,"{""campaign_type"": 1, ""price_gap_pct"": 0, ""hybrid_metrics"": {""total_uplift_score"": -3.55, ""long_term_growth_bonus"": 1.39, ""short_term_revenue_impact"": -4.94}, ""primary_action"": ""campaign_launch"", ""simulation_type"": ""campaign_discount"", ""discount_targets"": [""rent_fee"", ""cleaning_fee"", ""other_fee"", ""season_fee"", ""option_fee"", ""initial_fee""], ""benchmark_strength"": ""broad"", ""room_price_per_day"": 0, ""anchor_revenue_used"": 0, ""targeted_daily_value"": 0, ""discount_target_scope"": ""all_discountable_fees"", ""risk_confidence_score"": 30, ""discount_component_share"": 1, ""avg_market_occupancy_rate"": 0.7}",0,12/5/2026 10:40,12/5/2026 10:40,12/5/2026 10:40
31,11,2,11,12/5/2026,15,6.45,6.93,-5.32,0,74.85,campaign_discount,30,"{""campaign_type"": 1, ""price_gap_pct"": 0, ""hybrid_metrics"": {""total_uplift_score"": -5.32, ""long_term_growth_bonus"": 2.08, ""short_term_revenue_impact"": -7.4}, ""primary_action"": ""campaign_launch"", ""simulation_type"": ""campaign_discount"", ""discount_targets"": [""rent_fee"", ""cleaning_fee"", ""other_fee"", ""season_fee"", ""option_fee"", ""initial_fee""], ""benchmark_strength"": ""broad"", ""room_price_per_day"": 0, ""anchor_revenue_used"": 0, ""targeted_daily_value"": 0, ""discount_target_scope"": ""all_discountable_fees"", ""risk_confidence_score"": 30, ""discount_component_share"": 1, ""avg_market_occupancy_rate"": 0.7}",0,12/5/2026 10:40,12/5/2026 10:40,12/5/2026 10:40
32,12,2,12,12/5/2026,0,0,0,0,72660,0,campaign_discount,30,"{""campaign_type"": 1, ""price_gap_pct"": 0, ""hybrid_metrics"": {""total_uplift_score"": 0, ""long_term_growth_bonus"": 0, ""short_term_revenue_impact"": 0}, ""primary_action"": ""campaign_launch"", ""simulation_type"": ""campaign_discount"", ""discount_targets"": [""rent_fee"", ""cleaning_fee"", ""other_fee"", ""season_fee"", ""option_fee"", ""initial_fee""], ""benchmark_strength"": ""broad"", ""anchor_revenue_used"": 72660, ""targeted_daily_value"": 3460, ""discount_target_scope"": ""all_discountable_fees"", ""risk_confidence_score"": 33.86, ""discount_component_share"": 1, ""avg_market_occupancy_rate"": 0.7}",1,12/5/2026 10:40,12/5/2026 10:40,12/5/2026 10:40
33,12,2,12,12/5/2026,5,2.15,2.31,-1.78,71366.65,71.62,campaign_discount,30,"{""campaign_type"": 1, ""price_gap_pct"": 0, ""hybrid_metrics"": {""total_uplift_score"": -1.78, ""long_term_growth_bonus"": 0.69, ""short_term_revenue_impact"": -2.47}, ""primary_action"": ""campaign_launch"", ""simulation_type"": ""campaign_discount"", ""discount_targets"": [""rent_fee"", ""cleaning_fee"", ""other_fee"", ""season_fee"", ""option_fee"", ""initial_fee""], ""benchmark_strength"": ""broad"", ""room_price_per_day"": 3460, ""anchor_revenue_used"": 72660, ""targeted_daily_value"": 3460, ""discount_target_scope"": ""all_discountable_fees"", ""risk_confidence_score"": 33.86, ""discount_component_share"": 1, ""avg_market_occupancy_rate"": 0.7}",0,12/5/2026 10:40,12/5/2026 10:40,12/5/2026 10:40
34,12,2,12,12/5/2026,10,4.3,4.62,-3.55,70080.57,73.23,campaign_discount,30,"{""campaign_type"": 1, ""price_gap_pct"": 0, ""hybrid_metrics"": {""total_uplift_score"": -3.55, ""long_term_growth_bonus"": 1.39, ""short_term_revenue_impact"": -4.94}, ""primary_action"": ""campaign_launch"", ""simulation_type"": ""campaign_discount"", ""discount_targets"": [""rent_fee"", ""cleaning_fee"", ""other_fee"", ""season_fee"", ""option_fee"", ""initial_fee""], ""benchmark_strength"": ""broad"", ""room_price_per_day"": 3460, ""anchor_revenue_used"": 72660, ""targeted_daily_value"": 3460, ""discount_target_scope"": ""all_discountable_fees"", ""risk_confidence_score"": 33.86, ""discount_component_share"": 1, ""avg_market_occupancy_rate"": 0.7}",0,12/5/2026 10:40,12/5/2026 10:40,12/5/2026 10:40
35,12,2,12,12/5/2026,15,6.45,6.93,-5.32,68794.49,74.85,campaign_discount,30,"{""campaign_type"": 1, ""price_gap_pct"": 0, ""hybrid_metrics"": {""total_uplift_score"": -5.32, ""long_term_growth_bonus"": 2.08, ""short_term_revenue_impact"": -7.4}, ""primary_action"": ""campaign_launch"", ""simulation_type"": ""campaign_discount"", ""discount_targets"": [""rent_fee"", ""cleaning_fee"", ""other_fee"", ""season_fee"", ""option_fee"", ""initial_fee""], ""benchmark_strength"": ""broad"", ""room_price_per_day"": 3460, ""anchor_revenue_used"": 72660, ""targeted_daily_value"": 3460, ""discount_target_scope"": ""all_discountable_fees"", ""risk_confidence_score"": 33.86, ""discount_component_share"": 1, ""avg_market_occupancy_rate"": 0.7}",0,12/5/2026 10:40,12/5/2026 10:40,12/5/2026 10:40
36,13,2,13,12/5/2026,0,0,0,0,126000,0,campaign_discount,30,"{""campaign_type"": 1, ""price_gap_pct"": 0, ""hybrid_metrics"": {""total_uplift_score"": 0, ""long_term_growth_bonus"": 0, ""short_term_revenue_impact"": 0}, ""primary_action"": ""campaign_launch"", ""simulation_type"": ""campaign_discount"", ""discount_targets"": [""rent_fee"", ""cleaning_fee"", ""other_fee"", ""season_fee"", ""option_fee"", ""initial_fee""], ""benchmark_strength"": ""broad"", ""anchor_revenue_used"": 126000, ""targeted_daily_value"": 6000, ""discount_target_scope"": ""all_discountable_fees"", ""risk_confidence_score"": 38.18, ""discount_component_share"": 1, ""avg_market_occupancy_rate"": 0.7}",1,12/5/2026 10:40,12/5/2026 10:40,12/5/2026 10:40
